Neighborhood,Average Income,Crime Index
Allapatah,25700,447.9
Arts & Entertainment District,31125,447.9
Brickell,44154,447.9
Buena Vista,33666,447.9
Coconut Grove ,77865,447.9
Coral Way,41603,447.9
Design District,53230,447.9
Downtown,41273,447.9
Edgewater,37205,447.9
Flagami,37708,447.9
Grapeland Heights,36489,447.9
Liberty City,24593,447.9
Little Haiti,32470,447.9
Little Havana,26881,447.9
Lummus Park,23681,447.9
Midtown,33883,447.9
Overtown,24779,447.9
Park West,22292,447.9
The Roads,72657,447.9
Upper Eastside,44964,447.9
Venetian Islands,107222,694.2
West Flagler,37020,447.9
Wynwood,36159,447.9
